"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"25267-newSection0ConsolidationDivision-14","1625.2695805964993","209.81850880991945","true","20.867962831373568","6","NA","NA","NA","0.9996224072270631"
"25267-AA-2-Densifyed-0021","622.7824135879207","141.6813980707675","true","4.990926635733167","8","NA","NA","NA","0.4108620457757807"
"25267-newSection0ConsolidationDivision-18","594.2292933869414","98.78596011003292","true","59.414409653722416","3","NA","NA","NA","0.6628541279895427"
"25267-AA-1-Densifyed-0253","360.71517283792053","77.41178397115394","true","24.976573651467717","4","NA","NA","NA","0.5575354590260043"
"25267-AA-3-Densifyed-0114","223.91869728524236","59.92927740295553","true","16.200739236584845","3","NA","NA","NA","0.9948827931725753"
"25267-AA-1-Densifyed-0134","357.56801378027177","76.11077513201388","true","18.514885378120685","3","NA","NA","NA","0.6206029212495779"
"25267-AA-1-Densifyed-0017","277.73450165830707","70.08965706604894","true","20.502587962675467","3","NA","NA","NA","0.636047119801979"
"25267-AA-3-Densifyed-0213","365.3499406144157","77.2385263296243","true","17.929875545359064","6","NA","NA","NA","0.6001855996034461"
"25267-AB-6-Densifyed-0170","1796.9929106542181","286.4046617496247","true","9.990175708371465","12","NA","NA","NA","0.5376170554611195"
"25267-AB-1-Densifyed-0177","273.609980169124","68.26648009803247","true","14.864309409967642","5","NA","NA","NA","0.9993584818924199"
"25267-AA-3-Densifyed-0041","1533.9782426321506","174.76751405852198","true","28.993574741129986","6","NA","NA","NA","0.45621658646525"
"25267-AB-1-Densifyed-0131","438.08365051108746","83.90406979588309","true","24.47830108609621","4","NA","NA","NA","0.6546624440131938"
"25267-newSection1ConsolidationDivision-38","1690.841423975645","249.4028116769519","true","21.08354991176084","5","NA","NA","NA","0.9999009956143253"
"25267-newSection1ConsolidationDivision-55","2931.2342898933225","347.5933472216576","true","20.978540144930683","7","NA","NA","NA","0.11895851876266311"
"25267-newSection3ConsolidationDivision-18","1402.8302499456156","190.42920786754968","true","20.08382780311973","6","NA","NA","NA","0.2257081154685224"
"25267-AB-1-Densifyed-0123","667.855307869522","140.1545412658872","true","5.06940533414636","6","NA","NA","NA","0.4622948101365739"
"25267-newSection0ConsolidationDivision-2","1128.7625060581704","153.4603735096371","true","25.509111305717113","7","NA","NA","NA","0.4029620890541358"
"25267-AA-2-Densifyed-0038","262.166413888983","65.41339774138449","true","20.474040792758355","3","NA","NA","NA","0.5972882053912624"
"25267-newSection3ConsolidationDivision-23","554.2434162262653","111.6366211606931","true","21.700643659382585","4","NA","NA","NA","0.895035185947402"
"25267-AA-5-Densifyed-0134","494.69931508596534","125.28900819892002","true","4.9937828501255614","6","NA","NA","NA","0.4883015658403451"
"25267-newSection3ConsolidationDivision-31","1298.442248950436","176.35408550869138","true","21.22229755195682","5","NA","NA","NA","0.2552568819298116"
"25267-newSection5ConsolidationDivision-30","1453.2612442810373","216.62887657337035","true","35.854062620704376","4","NA","NA","NA","0.2834881327160516"
"25267-newSection6ConsolidationDivision-21","1072.8270179886877","155.29656587299962","true","19.986986304867422","4","NA","NA","NA","0.9988692317048092"
